property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features
M6780318622,725000,5,5,3728,8 Royal Grove Dr,Jackson,NJ,8527,-74.313762,40.095891,162,"basement, garage_1_or_more, two_or_more_stories"
M6316989938,725000,9,6,3085,19-21 St N,Seaside Park,NJ,8752,-74.074115,39.932717,15,"basement, two_or_more_stories"
M9713938154,725000,5,5,3728,27 Imperial Pl N,Jackson,NJ,8527,-74.31211,40.095786,156,"basement, garage_1_or_more, two_or_more_stories"
M9743620694,729000,4,3,2523,116 Point O Woods Dr,Toms River,NJ,8753,-74.179388,39.947897,18,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9023914620,729000,2,2,1269,510 N Bay Ave Unit 308,Beach Haven,NJ,8008,-74.238112,39.567046,14,"garage_1_or_more, single_story"
M9778808034,729000,2,2,1269,510 N Bay Ave Unit 3-8,Beach Haven,NJ,8008,-74.238112,39.567046,88,"basement, garage_1_or_more, two_or_more_stories"
M5072325526,729000,3,3,1852,168 Matilda Dr,Manahawkin,NJ,8050,-74.238365,39.668719,37,"garage_1_or_more, two_or_more_stories"
M6682033200,729000,4,2,2418,147 Ocean Ave,Island Heights,NJ,8732,-74.145134,39.941522,17,"basement, garage_1_or_more, two_or_more_stories"
M9122507900,729900,5,4,3164,86 Sylvan Ct,Lakewood,NJ,8701,-74.223568,40.075296,70,"basement, two_or_more_stories"
M9171858628,729900,5,4,3195,2 Birch St,Lakewood,NJ,8701,-74.216883,40.078054,88,"basement, two_or_more_stories"
M9409251365,729900,5,4,3174,4 Birch St,Lakewood,NJ,8701,-74.216967,40.078059,86,"basement, two_or_more_stories"
M9294191349,729900,5,4,3143,84 Sylvan Ct,Lakewood,NJ,8701,-74.223524,40.075291,70,"basement, two_or_more_stories"
M6656363050,729900,4,3,2900,727 Fairview Ln,Forked River,NJ,8731,-74.181735,39.825604,15,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9768551846,730000,4,4,3142,1675 Feldmus Ln Unit 2,Toms River,NJ,8755,-74.208601,40.012397,15,"basement, garage_2_or_more, two_or_more_stories"
